datetime,symbol,open,high,low,close,volume
2025-04-02 03:56:00,BINANCE:BTCUSDT,85232.0,85238.87,85216.0,85216.01,12.35157
2025-04-02 03:57:00,BINANCE:BTCUSDT,85216.0,85243.14,85216.0,85240.46,5.84272
2025-04-02 03:58:00,BINANCE:BTCUSDT,85240.45,85247.18,85234.92,85247.18,2.43947
2025-04-02 03:59:00,BINANCE:BTCUSDT,85247.17,85247.18,85212.9,85222.33,9.05802
2025-04-02 04:00:00,BINANCE:BTCUSDT,85222.33,85263.64,85179.91,85189.92,14.08554
2025-04-02 04:01:00,BINANCE:BTCUSDT,85189.92,85209.79,85168.78,85205.88,5.91152
2025-04-02 04:02:00,BINANCE:BTCUSDT,85205.88,85248.0,85205.87,85239.42,9.08365
2025-04-02 04:03:00,BINANCE:BTCUSDT,85239.42,85251.1,85233.86,85233.87,2.94337
2025-04-02 04:04:00,BINANCE:BTCUSDT,85233.86,85300.0,85233.86,85300.0,5.15227
2025-04-02 04:05:00,BINANCE:BTCUSDT,85299.99,85308.24,85281.45,85297.97,15.26744
2025-04-02 04:06:00,BINANCE:BTCUSDT,85297.97,85297.97,85214.32,85214.33,5.82606
2025-04-02 04:07:00,BINANCE:BTCUSDT,85214.33,85275.43,85208.52,85275.43,7.17431
2025-04-02 04:08:00,BINANCE:BTCUSDT,85275.44,85324.0,85260.58,85260.58,7.84482
2025-04-02 04:09:00,BINANCE:BTCUSDT,85260.58,85260.58,85228.64,85247.08,3.35314
2025-04-02 04:10:00,BINANCE:BTCUSDT,85247.07,85258.99,85235.41,85242.21,2.65974
2025-04-02 04:11:00,BINANCE:BTCUSDT,85242.21,85248.71,85211.15,85212.39,4.63441
2025-04-02 04:12:00,BINANCE:BTCUSDT,85212.39,85232.5,85204.02,85204.02,3.27598
2025-04-02 04:13:00,BINANCE:BTCUSDT,85204.02,85218.9,85202.66,85218.9,3.35983
2025-04-02 04:14:00,BINANCE:BTCUSDT,85218.9,85218.9,85204.0,85209.55,1.64531
2025-04-02 04:15:00,BINANCE:BTCUSDT,85209.55,85218.0,85206.23,85217.99,7.11138
2025-04-02 04:16:00,BINANCE:BTCUSDT,85218.0,85259.57,85217.99,85259.56,2.93661
2025-04-02 04:17:00,BINANCE:BTCUSDT,85259.57,85292.0,85259.56,85292.0,3.49996
2025-04-02 04:18:00,BINANCE:BTCUSDT,85291.99,85292.0,85258.17,85258.17,3.76272
2025-04-02 04:19:00,BINANCE:BTCUSDT,85258.18,85310.59,85258.17,85308.03,4.8917
2025-04-02 04:20:00,BINANCE:BTCUSDT,85308.02,85337.75,85308.02,85337.75,3.75671
2025-04-02 04:21:00,BINANCE:BTCUSDT,85337.74,85337.74,85274.12,85274.13,4.37168
2025-04-02 04:22:00,BINANCE:BTCUSDT,85274.12,85285.38,85232.52,85232.52,18.47409
2025-04-02 04:23:00,BINANCE:BTCUSDT,85232.51,85232.52,85207.13,85207.14,4.12622
2025-04-02 04:24:00,BINANCE:BTCUSDT,85207.13,85247.84,85207.13,85247.84,10.176
